,Difference,E-147,E-48
2009-12-31,2.1828732431595435,2.4809677923343214,0.2980945491747769
2010-12-31,1.983188125972722,2.252711183296753,0.26952305732402976
2011-12-31,2.3919135451795484,2.7273992767773616,0.3354857315978165
2012-12-31,2.2579352738497143,2.5678492796336667,0.30991400578395006
2013-12-31,2.0870783669459043,2.3742304865054487,0.2871521195595465
2014-12-31,2.1303078968002938,2.4244681267976476,0.29416022999735536
2015-12-31,2.431492322278644,2.7774968020229607,0.3460044797443172
2016-12-31,2.0258928619540497,2.303427130845061,0.2775342688910107
2017-12-31,2.2974791463514084,2.616652283114438,0.3191731367630277
2018-12-31,2.1145816115889846,2.404702027613033,0.29012041602404814
