Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Italien (Nord)[€/MWh];Niederlande[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Slowenien[€/MWh];Tschechien[€/MWh];Ungarn[€/MWh];Österreich[€/MWh];Deutschland/Österreich/Luxemburg[€/MWh];Belgien[€/MWh];Norwegen 2[€/MWh]
01.10.2018;00:00;59,53;50,32;50,32;59,53;63,11;59,53;-;42,32;63,06;59,53;43,92;43,92;59,53;-;59,53;42,32
01.10.2018;01:00;56,1;50,43;50,43;56,1;59,75;56,1;-;42,35;58,68;56,1;41,52;41,52;56,1;-;56,1;42,35
01.10.2018;02:00;51,41;42,4;42,4;51,41;59,35;51,41;-;42,4;58,63;51,41;37,5;37,5;51,41;-;51,41;42,4
01.10.2018;03:00;47,38;45,86;45,86;47,38;59,34;47,38;-;42,61;57,83;47,38;35,14;35,14;47,38;-;47,38;42,61
01.10.2018;04:00;47,59;46,34;46,34;47,59;59,38;47,59;-;42,98;58,24;47,59;39,81;39,81;47,59;-;47,59;42,98
01.10.2018;05:00;51,61;51,61;51,61;51,61;61,22;51,61;-;45,95;63,35;51,61;47,41;51,95;51,61;-;51,61;44,29
01.10.2018;06:00;69,13;69,13;69,13;69,13;75;69,13;-;67,47;70,55;75;63;73,94;69,13;-;69,13;45,96
01.10.2018;07:00;77,32;77,32;77,32;77,32;81,5;77,32;-;75,47;76,1;81,5;75,91;83,94;77,32;-;77,32;47,1
01.10.2018;08:00;84,97;84,97;84,97;84,97;87,5;84,97;-;82,93;80,9;87,5;78;89,93;84,97;-;84,97;48,32
01.10.2018;09:00;79,56;79,56;79,56;79,56;79,56;79,56;-;79,56;78,46;79,56;73,67;87,7;79,56;-;79,56;48,32
01.10.2018;10:00;73,7;73,7;73,7;73,7;74,62;73,7;-;73,7;76,24;74,62;66,3;80,61;73,7;-;73,7;48,1
01.10.2018;11:00;71,63;71,63;71,63;72,45;75,47;63;-;71,63;76,09;75,47;65,54;81,99;72;-;73,17;47,04
01.10.2018;12:00;63,15;63,15;63,15;69,95;69,95;56,19;-;63,15;74,97;69,95;60,09;76,08;65,2;-;69,95;47,01
01.10.2018;13:00;60,24;60,24;60,24;66,23;69,86;53,6;-;60,24;75,55;69,86;56,06;74,69;62,05;-;66,23;47,72
01.10.2018;14:00;56,18;56,18;56,18;61,17;75,47;52,3;-;56,18;78,82;75,47;56;78,22;61,96;-;57,4;47,05
01.10.2018;15:00;53;53;53;59,45;79,5;53;-;53;79,9;79,5;62,33;83,08;62,41;-;55,32;45,19
01.10.2018;16:00;53,37;53,37;53,37;58,18;80,9;53,37;-;53,37;80,77;80,9;64,12;86,33;61,98;-;55,3;45,21
01.10.2018;17:00;60,42;60,42;60,42;60,42;81,5;60,42;-;60,42;79,95;81,5;66;86,82;60,42;-;60,42;45,18
01.10.2018;18:00;69,93;69,93;69,93;69,93;88;69,93;-;69,93;80,04;88;74,01;108,71;69,93;-;69,93;45,42
01.10.2018;19:00;75;75;75;75;97,1;75;-;75;79,42;97,1;79;113,86;75;-;75;46,01
01.10.2018;20:00;65,83;65,83;65,83;75,67;91,37;69,6;-;65,83;77,8;91,37;72;107,21;68,9;-;85,07;46,32
01.10.2018;21:00;53,86;53,86;53,86;70,08;76,2;60;-;53,86;74,11;76,2;59,94;79,87;58,97;-;85,65;45,52
01.10.2018;22:00;46,46;45,35;45,35;64,91;74,61;53,7;-;45,35;73,57;56,1;52;69,44;51,86;-;83,07;44,1
01.10.2018;23:00;42,5;42,5;42,5;59,49;72,01;52,3;-;42,5;69,19;47,48;43;54,54;47,48;-;76,15;42,5
02.10.2018;00:00;45,1;45,1;45,1;59,14;67,79;58,72;-;45,1;68,25;49,05;41,83;44,84;49,05;-;73,47;45,1
02.10.2018;01:00;44,1;44,1;44,1;56,97;65,06;56,57;-;44,1;67,08;47,77;40,93;40,93;47,77;-;68,41;44,1
02.10.2018;02:00;44,06;44,06;44,06;51,41;63,58;49;-;44,06;65,09;46,17;38,86;38,86;46,17;-;58,96;44,06
02.10.2018;03:00;43,77;43,77;43,77;48,55;63,42;46;-;43,77;62,84;45,04;37,8;37,8;45,04;-;55,5;43,77
02.10.2018;04:00;44,29;44,29;44,29;48,29;63,5;45,76;-;44,29;62,2;45,34;39,52;39,52;45,34;-;53,82;44,29
02.10.2018;05:00;48,13;48,13;48,13;50,64;69,07;47,99;-;48,13;67,99;48,83;45;48,02;48,83;-;52,8;46,33
02.10.2018;06:00;57,7;57,7;57,7;58,18;77;57,7;-;57,7;76,53;57,84;58;76,55;57,84;-;58,71;47,3
02.10.2018;07:00;68,21;68,21;68,21;73,43;89,01;69,58;-;68,21;80,09;89,01;66,5;93,31;69,53;-;84,87;49,47
02.10.2018;08:00;70,36;70,36;70,36;74,26;110;70,36;-;70,36;82;101,9;69,75;95,87;71,43;-;79,26;49,56
02.10.2018;09:00;54,53;54,53;54,53;75,49;99,52;74,96;-;54,53;80,96;99,52;63;89,85;60,12;-;96,48;49,24
02.10.2018;10:00;48,49;48,49;48,49;73,7;90;64,1;-;48,49;79,08;56,06;59,71;83,19;55,79;-;94,12;48,49
02.10.2018;11:00;46,19;46,19;47,07;70,47;84,22;51,7;-;47,07;79,91;84,22;58,37;81,38;53,51;-;90;46,19
02.10.2018;12:00;44,15;44,15;44,15;71,5;74,2;51,6;-;46,33;77,26;74,2;57,6;77,85;52,55;-;94,5;45,92
02.10.2018;13:00;30,79;30,79;30,79;69,93;74,34;51,5;-;46,85;77,25;74,34;50,69;74,21;43,07;-;100,11;45,86
02.10.2018;14:00;27,75;27,75;27,75;65,99;79,62;52;-;46,69;77,68;55,61;42,2;75,24;39,89;-;96,58;45,83
02.10.2018;15:00;30,74;30,74;30,74;65,1;81,04;51,7;-;46,27;80,08;52,1;55;76,73;43,01;-;97,18;45,64
02.10.2018;16:00;26,77;26,77;26,77;65,01;78,61;51,5;-;46,4;80,05;55,7;59,6;77,89;46,03;-;101,25;45,63
02.10.2018;17:00;38,68;38,68;46,25;67,13;80;55;-;46,25;80;80;57,5;82,06;47,02;-;124,23;45,33
02.10.2018;18:00;48,52;45,86;48,52;73,94;88;51,7;-;48,52;76,77;88;56,13;104,98;55,63;-;105,29;45,86
02.10.2018;19:00;49,03;45,71;49,03;81,12;99,04;51,4;-;49,03;77,18;99,04;60,1;115,09;57,86;-;120,3;45,71
02.10.2018;20:00;45,43;45,43;46,26;80;86;98,15;-;46,26;76,52;86;47,41;96,49;56,06;-;109,54;45,43
02.10.2018;21:00;32,04;32,04;32,04;75,21;75,8;69,9;-;44,85;76,54;45,35;39,2;59,8;45,35;-;100,94;44,85
02.10.2018;22:00;26,22;26,22;26,22;69,95;74,61;60,1;-;42,69;75,72;39,7;31,01;53,95;38,29;-;102,89;42,69
02.10.2018;23:00;1,08;0,11;1,08;65,1;69,8;51;-;42,6;74,11;18,74;23,17;37,7;18,74;-;118,77;42,6
03.10.2018;00:00;2,13;0,13;2,13;61,87;74,61;42,8;-;40,69;70,93;47,08;30,6;43;47,08;-;55,42;40,69
03.10.2018;01:00;0,1;0,1;0,1;58,44;70,05;40;-;38,07;67,77;43,04;22,23;28,11;43,04;-;61,99;38,72
03.10.2018;02:00;0,05;0,05;0,05;50,62;67,08;42;-;36,42;66,02;40,08;16;17,95;40,08;-;58,1;38,43
03.10.2018;03:00;0,07;0,07;0,07;38,89;65,76;44,9;-;39,14;65,64;39;1;15,06;39;-;51,52;39,14
03.10.2018;04:00;-0,08;-0,08;-0,08;40,37;66,66;42;-;39,65;68,02;40,03;13;23,51;40,03;-;47,82;39,65
03.10.2018;05:00;-0,09;-0,09;-0,09;55,65;72,6;42,71;-;41,34;72,52;53,2;30,81;46,1;47,03;-;59;41,34
03.10.2018;06:00;-4,97;-4,97;45,27;61,03;75,23;52,2;-;45,27;77,1;61,96;62;66,56;61,96;-;65,12;45,27
03.10.2018;07:00;-0,06;-0,06;47,52;77;80,2;80,1;-;47,52;80,08;80,2;59;83,77;70,02;-;145,49;47,52
03.10.2018;08:00;0,7;0,7;48,39;78,68;90;66,1;-;48,39;80;84,6;59;90,01;74,91;-;149,12;48,39
03.10.2018;09:00;0,91;0,91;48,46;79,73;88;90;-;48,46;80,17;72,01;57,1;87,05;72,01;-;148,56;48,46
03.10.2018;10:00;-0,03;-0,03;47,74;78;80,9;72;-;47,74;80,82;62,95;52;71,36;62,95;-;152,19;47,74
03.10.2018;11:00;0,03;0,03;46,92;76,89;81;67;-;46,92;80,89;81;50,87;81,21;62,91;-;148,84;46,92
03.10.2018;12:00;-0,04;-0,04;46,75;75,67;75,67;75,14;-;46,75;79;75,67;52;76,51;62,97;-;120;46,75
03.10.2018;13:00;0;0;46,52;75,85;75,85;75,32;-;46,52;79,2;75,85;49;69,83;62,94;-;105,58;46,52
03.10.2018;14:00;0,03;0,03;46,5;71,52;79,2;71,01;-;46,5;80,08;79,2;50;60,19;63;-;134,84;46,5
03.10.2018;15:00;5,75;5,75;46,4;68,24;80;67,76;-;46,4;80;62,95;57,04;57,04;62,95;-;123,02;46,4
03.10.2018;16:00;20,28;20,28;46,24;64,59;85,34;64,13;-;46,24;80,03;61,97;55;55,3;61,97;-;78,54;46,24
03.10.2018;17:00;43,2;43,2;46,75;74,14;88,45;73,62;-;46,75;79,43;59,99;64,5;70,04;59,99;-;102,25;46,75
03.10.2018;18:00;63,23;54,06;54,06;77,03;88,11;78,66;-;54,06;79,5;84,6;73,17;87,55;67,46;-;90,36;46,81
03.10.2018;19:00;71,44;58;58;85,6;95;98,05;-;58;80,68;95;79,5;104,95;75,93;-;98,05;46,8
03.10.2018;20:00;67,95;63,82;63,82;81,65;88;82;-;63,82;80,56;88;70;87,31;72,15;-;95,09;46,91
03.10.2018;21:00;56,88;55,22;55,22;78,27;78,8;60;-;55,22;78,83;63,25;60,81;61,96;63,25;-;99,44;46,78
03.10.2018;22:00;62,85;46,1;46,1;73,38;75,47;62,96;-;46,1;76,06;72,99;56,2;60,52;72,99;-;70;46,1
03.10.2018;23:00;48,72;44,16;44,16;65,95;72;60,06;-;44,16;71,57;62,99;46,5;53,05;62,99;-;60,58;44,16
04.10.2018;00:00;53,24;53,24;53,24;62,77;67,61;56,86;-;46,25;66,32;64,75;53;53;64,75;-;58,17;46,25
04.10.2018;01:00;46,1;46,1;46,1;59;64,49;51,07;-;44,99;64,08;61,8;50;50;61,8;-;52,82;44,99
04.10.2018;02:00;45,6;45,6;45,6;58,08;63,58;50,38;-;44,51;62,76;60,68;46,8;46,8;60,68;-;52,06;44,51
04.10.2018;03:00;46,88;46,88;46,88;51,23;62,34;48,57;-;45,74;62,03;52,04;47;47;52,04;-;49,14;45,74
04.10.2018;04:00;47,53;47,53;47,53;47,53;62,37;47,53;-;46,01;61,94;47,53;46,6;46,6;47,53;-;47,53;46,01
04.10.2018;05:00;50,88;50,88;50,88;54,91;65;52,45;-;49,66;60,33;55,7;53,93;53,93;55,7;-;53,24;47,4
04.10.2018;06:00;74,69;74,69;74,69;74,67;76,9;74,15;-;61,71;74,69;74,69;71,9;73,91;74,69;-;74,67;48,53
04.10.2018;07:00;80,15;80,15;80,15;80,37;85,5;79,8;-;73,8;82,02;80,21;82,72;84,66;80,21;-;80,61;49,71
04.10.2018;08:00;81;81;81;81,22;95,01;80,65;-;81;84,52;81,06;85;88,01;81,06;-;81,35;49,27
04.10.2018;09:00;82,09;82,09;82,09;82,31;89,9;81,73;-;81,58;81,95;82,15;78,14;81,54;82,15;-;82,43;49,15
04.10.2018;10:00;78,96;78,96;78,96;79,17;80,01;78,62;-;78,96;79,06;79,02;73,18;78,05;79,02;-;79,29;49
04.10.2018;11:00;75,34;75,34;75,34;76,89;78,9;72,86;-;75,34;78,34;76,09;70;74,94;76,09;-;77,75;48,94
04.10.2018;12:00;63,05;63,05;63,05;74,98;74,98;53,4;-;63,05;76,03;74,98;63,38;74,03;74,98;-;81,96;48,86
04.10.2018;13:00;54,49;54,49;54,49;72,89;72,89;52,3;-;54,49;75,38;72,89;59,53;66,43;72,89;-;84,67;48,78
04.10.2018;14:00;54,4;54,4;54,4;67,31;75,9;51;-;54,4;77;75,9;58,3;65,03;75,9;-;75,06;48,75
04.10.2018;15:00;57,61;57,61;57,61;63,97;78,2;51,5;-;57,61;78,37;78,2;60,11;66,84;77,92;-;67,02;48,66
04.10.2018;16:00;66,96;66,96;66,96;68,58;80;64,98;-;66,96;79,93;80;66,9;75,06;77,98;-;69,73;48,59
04.10.2018;17:00;77,23;77,23;77,23;77,24;81;77,23;-;77,23;80,45;79,96;76;80,32;79,96;-;77,24;48,44
04.10.2018;18:00;80,25;80,25;80,25;80,46;84,99;79,89;-;80,25;82,09;84,99;83,75;91,06;80,31;-;80,69;48,41
04.10.2018;19:00;88,08;88,08;88,08;91,13;100;83;-;88,08;87,63;100;91,52;107,09;88,94;-;94,64;48,41
04.10.2018;20:00;80,67;80,67;80,67;84,13;87,08;74,9;-;78,74;83,83;87,08;82,08;93,2;81,65;-;89,14;48,41
04.10.2018;21:00;72,22;72,22;72,22;79,81;79,81;60;-;70,49;77,78;74,35;72,6;78,9;74,35;-;90,02;48,04
04.10.2018;22:00;53,98;48,59;48,59;76,2;76,2;60,63;-;48,59;73,72;75,98;63;67,86;75,98;-;81,93;46,65
04.10.2018;23:00;52,25;43,67;43,67;71,18;71,18;70,1;-;43,67;66,94;69,56;54,1;59,47;69,56;-;70,8;43,67
05.10.2018;00:00;49,57;45,26;45,26;61,03;70;55,8;-;45,26;67,19;56,06;54,28;56,98;56,06;-;64,8;45,26
05.10.2018;01:00;51,16;42,47;42,47;55,07;68,15;53,13;-;42,47;64,93;55,4;49,99;50,48;55,4;-;53,7;42,47
05.10.2018;02:00;48,91;40,64;40,64;52,73;65,78;50;-;40,64;63,15;49,97;47;47;49,97;-;56,5;40,64
05.10.2018;03:00;47,36;41,06;41,06;49,76;65,84;51,5;-;41,06;62,93;48,07;46;46;48,07;-;51,78;41,06
05.10.2018;04:00;48,28;42,45;42,45;48,28;65;48,28;-;42,45;62,91;48,28;47,9;47,9;48,28;-;48,28;42,45
05.10.2018;05:00;54,18;46,07;46,07;54,2;67,14;54,21;-;46,07;66,48;56,09;53;60,09;56,09;-;54,21;46,07
05.10.2018;06:00;63,62;63,62;63,62;65,09;77,99;62,54;-;61,14;74,08;77,99;69,6;78,06;77,99;-;65,9;47,27
05.10.2018;07:00;78,87;78,87;78,87;79,08;87,44;78,52;-;70,54;80,69;87,44;78,5;82,76;78,92;-;79,37;48,5
05.10.2018;08:00;79,74;79,74;79,74;80;90;79,44;-;77,83;80,81;90;76,2;91,11;79,81;-;80,28;48,51
05.10.2018;09:00;74,5;74,5;74,5;79,47;85,44;70,9;-;72,71;80,55;85,44;67,5;82,99;79,91;-;83,6;48,41
05.10.2018;10:00;55,42;55,42;55,42;76,39;79;53,1;-;54,09;80,08;79;62,01;79,09;79;-;82,04;48,28
05.10.2018;11:00;50,21;50,21;50,21;75;79;53,1;-;50,21;79,72;79;54,27;78,01;79;-;82,6;48,13
05.10.2018;12:00;46,64;46,64;47,44;74,9;74,9;57,32;-;47,44;74,3;77,2;52,01;76,88;77,2;-;61,4;47,44
05.10.2018;13:00;50,72;50,72;49,92;63,36;73,45;55,34;-;49,92;72,42;73,45;49,79;72,01;73,45;-;57,29;47,61
05.10.2018;14:00;48,24;48,24;48,24;65,66;74,61;54,62;-;48,24;74,92;74,61;48,41;70,08;74,61;-;57,4;46,99
05.10.2018;15:00;48,55;48,55;48,55;64,49;76,5;54,43;-;48,5;76,64;76,5;52,01;73,4;76,09;-;57,21;46,5
05.10.2018;16:00;54,98;54,98;54,98;64,51;77,9;58,49;-;53,66;78,02;77,9;60,7;78,25;76,08;-;60,4;46,44
05.10.2018;17:00;74,99;74,99;74,99;75;77;74,99;-;73,19;78,73;77;72,2;77,07;77;-;75;46,43
05.10.2018;18:00;78,66;78,66;78,66;78,66;84,5;78,66;-;76,78;80,16;78,67;80;83,75;78,66;-;78,66;46,67
05.10.2018;19:00;82,96;82,96;82,96;82,96;93,31;82,96;-;80,97;84,15;93,31;86,23;106,1;82,96;-;82,96;46,97
05.10.2018;20:00;79,9;79,9;79,9;79,9;81,83;79,9;-;77,56;80,15;79,9;78,97;82,91;79,9;-;79,9;48,08
05.10.2018;21:00;65,08;65,08;65,08;68,1;76,2;61,53;-;63,52;77,3;65,86;67,55;68,97;65,86;-;69,52;47,63
05.10.2018;22:00;59,86;59,86;59,86;64,53;74,61;67,8;-;46,48;75,76;61,19;58;63,82;61,19;-;68,6;46,48
05.10.2018;23:00;54,7;52,68;52,68;59,15;70,69;54,7;-;44,41;71,33;55,82;54,23;58,79;55,82;-;64,14;44,41
06.10.2018;00:00;50,1;49,36;49,36;55,04;75,78;51,81;-;44,89;64,92;56,03;51,3;55,45;56,03;-;52,62;44,89
06.10.2018;01:00;52,98;48,95;48,95;53,68;76,2;54,9;-;43,47;62,98;53,08;50,01;50,01;53,08;-;54,84;43,47
06.10.2018;02:00;51,52;48,94;48,94;51,52;76,2;51,52;-;43,39;62,96;51,52;47,99;47,99;51,52;-;51,52;43,39
06.10.2018;03:00;51;48,99;48,99;51;74,61;51;-;43,35;62,94;51;47,49;47,49;51;-;51;43,35
06.10.2018;04:00;50;49,03;49,03;50;74,37;50;-;43,85;62,78;50;48,01;48,01;50;-;50;43,85
06.10.2018;05:00;46,91;46,91;46,91;46,91;75,78;46,91;-;44,26;62,65;46,91;50,95;50,95;46,91;-;46,91;44,26
06.10.2018;06:00;53,03;53,03;53,03;53,03;86,14;53,03;-;44,4;64,98;53,03;58;58;53,03;-;53,03;44,4
06.10.2018;07:00;62,37;62,37;62,37;62,37;88,35;62,37;-;52,85;74,13;62,37;65;65,48;62,37;-;62,37;45,99
06.10.2018;08:00;63,98;63,98;63,98;63,98;89,76;63,98;-;60,23;76,25;63,98;65;72,06;63,98;-;63,98;47,21
06.10.2018;09:00;70,72;70,72;70,72;70,72;91;70,72;-;69,02;75,87;70,72;66,8;74,18;70,72;-;70,72;47,86
06.10.2018;10:00;64,79;64,79;64,79;64,79;88;64,79;-;63,23;72,28;64,79;59;69,91;64,79;-;64,79;48,05
06.10.2018;11:00;59,06;59,06;59,06;59,06;80,1;59,06;-;57,64;70,49;59,06;52,1;67,91;59,06;-;59,06;48,01
06.10.2018;12:00;58;58;58;58;74,61;58;-;56,61;66,57;58;50,45;50,45;58;-;58;48,04
06.10.2018;13:00;51,51;51,51;51,51;51,62;71,21;51,55;-;50,27;65,06;53,1;49,7;49,7;53,1;-;51,57;47,99
06.10.2018;14:00;50,2;50,2;50,2;50,2;69,46;50,2;-;49;63,6;50,2;48,01;48,01;50,2;-;50,2;47,87
06.10.2018;15:00;49,23;49,23;49,23;49,38;70,64;49,25;-;48,18;65,14;53;51,42;51,42;53;-;49,28;47,68
06.10.2018;16:00;54,81;54,81;54,81;54,81;74,52;54,81;-;53,5;66,87;54,81;57;57;54,81;-;54,81;47,93
06.10.2018;17:00;59,93;59,93;59,93;59,93;76,83;59,93;-;58,49;70,01;59,93;63,5;65,55;59,93;-;59,93;48,03
06.10.2018;18:00;72,06;72,06;72,06;72,06;85,5;72,06;-;70,33;75,01;72,06;72,71;74,99;72,06;-;72,06;48,06
06.10.2018;19:00;82,27;82,12;82,12;82,27;92,52;82,27;-;80,3;78,86;88,2;83,04;83,04;82,27;-;82,27;48,09
06.10.2018;20:00;70,6;68,91;68,91;75,78;90;83,1;-;68,91;76,96;72,01;75,76;75,76;72,01;-;79,83;47,96
06.10.2018;21:00;61,39;57,11;57,11;61,39;82,49;61,39;-;57,11;70,3;61,39;61,81;61,81;61,39;-;61,39;47,69
06.10.2018;22:00;57,02;47,13;47,13;60,73;74,98;59,9;-;47,13;68,34;58,01;54,8;54,8;58,01;-;64,15;47,13
06.10.2018;23:00;46,46;45,34;45,34;61,84;74,37;64,39;-;45,34;63,9;56;49,33;49,33;56;-;75,48;45,34
07.10.2018;00:00;50,49;46,95;46,95;57,87;71,2;49,09;-;46,95;66,48;53;45,77;45,77;53;-;65,82;46,95
07.10.2018;01:00;47,11;45,5;45,5;47,63;69,98;47,01;-;45,5;66,83;47,23;41,73;41,73;47,23;-;48,2;45,5
07.10.2018;02:00;45,75;44,65;44,65;45,75;67,99;45,75;-;44,65;64,36;45,75;38,43;38,43;45,75;-;45,75;44,65
07.10.2018;03:00;43,02;43,02;43,02;43,02;67,97;43,02;-;43,02;63,05;43,02;37;37;43,02;-;43,02;43,02
07.10.2018;04:00;42,5;42,5;42,5;42,5;66,55;42,5;-;42,5;62,94;42,5;35,1;35,1;42,5;-;42,5;42,5
07.10.2018;05:00;43,8;43,8;43,8;43,8;67,97;43,8;-;43,8;63;43,8;33,8;33,8;43,8;-;43,8;43,8
07.10.2018;06:00;44,6;44,6;44,6;44,6;68,92;44,6;-;44,6;64,74;44,6;37,4;37,4;44,6;-;44,6;44,6
07.10.2018;07:00;46,56;46,56;46,56;46,56;69,19;46,56;-;46,56;65,94;46,56;42,9;43,92;46,56;-;46,56;46,36
07.10.2018;08:00;50,71;49,49;49,49;50,74;68,39;50,72;-;49,49;64,25;53,03;46,1;50,45;53,03;-;50,74;47,14
07.10.2018;09:00;55,98;52,96;52,96;55,98;73,14;55,98;-;51,95;58,86;55,98;50,4;53,22;55,98;-;55,98;47,39
07.10.2018;10:00;55,09;55,09;55,09;55,09;74,61;55,09;-;53,77;54,24;55,09;50,98;54,97;55,09;-;55,09;47,55
07.10.2018;11:00;55,13;55,13;55,13;55,13;74,37;55,13;-;53,71;54,11;55,13;51,5;57,64;55,13;-;55,13;47,54
07.10.2018;12:00;54,06;52,77;52,77;54,06;74,37;54,06;-;52,77;56,61;54,06;48,11;55,63;54,06;-;54,06;47,47
07.10.2018;13:00;50,9;50,9;50,9;50,9;68,56;50,9;-;50,9;52,9;50,9;46,79;51,05;50,9;-;50,9;47,32
07.10.2018;14:00;49,91;49,91;49,91;49,91;69,23;49,91;-;49,91;47,42;49,91;42,7;48,65;49,91;-;49,91;47,19
07.10.2018;15:00;49,05;49,05;49,05;49,05;71,72;49,05;-;49,05;49,36;49,05;45;48,93;49,05;-;49,05;47,13
07.10.2018;16:00;50,21;50,21;50,21;50,21;74,37;50,21;-;50,21;53,52;50,21;48,1;52,78;50,21;-;50,21;47,14
07.10.2018;17:00;55,48;55,48;55,48;55,48;74,37;55,48;-;54,14;61,87;56,08;58,35;64,8;56,08;-;55,48;47,16
07.10.2018;18:00;70;70;70;70;76,2;70;-;68,32;73,13;76,2;68,9;76,59;70;-;70;47,32
07.10.2018;19:00;80,94;80,94;80,94;80,94;88,01;80,94;-;79;80,69;88,01;80;95,97;80,94;-;80,94;47,51
07.10.2018;20:00;77,07;77,07;77,07;77,07;85;77,07;-;75,22;78,06;85;75;82,48;77,07;-;77,07;47,45
07.10.2018;21:00;71,47;71,47;71,47;71,47;77;71,47;-;63,09;73,09;71,47;69;73,92;71,47;-;71,47;47,02
07.10.2018;22:00;68,3;59,91;59,91;69,11;74,61;68,3;-;59,91;69,86;68,49;68,25;69,13;68,49;-;70;46,45
07.10.2018;23:00;59,91;51,47;51,47;64,02;69,97;59,91;-;51,47;64,68;60,88;58,56;58,56;60,88;-;68,51;46,14
08.10.2018;00:00;55,59;46,15;46,15;55,88;64,92;55,73;-;46,15;66,97;56,07;57,8;57,8;56,07;-;55,78;46,15
08.10.2018;01:00;50,3;44,16;44,16;53,98;64,39;51,64;-;44,16;66,86;56,02;52,69;52,69;56,02;-;52,2;44,16
08.10.2018;02:00;50,16;42,94;42,94;51,5;64,39;51;-;42,94;67,27;53,02;47;47;53,02;-;51,5;42,94
08.10.2018;03:00;47,32;41,82;41,82;47,32;64,37;47,32;-;41,82;64,83;47,32;43,3;43,3;47,32;-;47,32;41,82
08.10.2018;04:00;47,94;41,79;41,79;47,94;64,39;47,94;-;41,79;64,71;47,94;45,6;45,6;47,94;-;47,94;41,79
08.10.2018;05:00;51,14;44,2;44,2;53,4;65,73;52,76;-;44,2;66,94;58;53,5;59,93;58;-;53,4;44,2
08.10.2018;06:00;62,79;47,25;61,28;62,94;75,05;62,66;-;61,28;80,07;75,05;73,13;73,13;75,05;-;63,03;47,25
08.10.2018;07:00;79,98;47,81;78,06;79,98;79,98;79,98;-;78,06;84,81;79,98;87,18;89,09;79,98;-;79,98;47,81
08.10.2018;08:00;82,42;47,75;82,42;82,65;86;82,06;-;79,5;86,07;82,48;88;88,97;82,48;-;83,09;47,75
08.10.2018;09:00;81,58;47,79;79,62;84,59;84,59;77,44;-;79,62;83,21;82,44;81,78;84,93;82,44;-;87,74;47,79
08.10.2018;10:00;66,89;47,74;65,29;81,42;81,42;52,7;-;65,29;81,1;81,42;71,7;77,93;81,42;-;95,86;47,74
08.10.2018;11:00;52,06;47,54;52,06;72,88;80,98;50,1;-;50,81;81,04;80,98;66,6;76,9;80,98;-;81,23;47,54
08.10.2018;12:00;51,57;47,13;50,33;71,69;75,3;48,69;-;50,33;79,53;75,3;60;76,06;78,9;-;79,89;47,13
08.10.2018;13:00;49,96;47,26;48,76;71,69;76,34;49;-;48,76;79,03;76,34;55,1;71,96;78,07;-;77,2;47,26
08.10.2018;14:00;52,07;47,2;48,82;66,05;80,95;50;-;48,82;79,39;80,95;55,4;71,98;80,95;-;69,24;47,2
08.10.2018;15:00;52,81;46,81;51,54;64,34;81;51,5;-;51,54;81,05;81;59,4;76,08;81;-;68,9;46,81
08.10.2018;16:00;61,52;46,88;60,05;65,63;83,9;57,74;-;60,05;81,07;82,43;66,81;78,75;82,43;-;68,9;46,88
08.10.2018;17:00;74,9;47,19;73,1;74,9;82;74,9;-;73,1;81,97;82;76,96;84,26;82;-;74,9;47,19
08.10.2018;18:00;85,37;47,43;82,89;85,37;86,72;85,37;-;82,79;84,1;86,72;86;92,86;85,37;-;85,37;47,43
08.10.2018;19:00;102,01;47,61;99,56;102,29;102,29;101,57;-;99,56;89,79;102,29;97,1;107,29;102,08;-;102,7;47,61
08.10.2018;20:00;85,77;47,55;81,65;85,77;88;85,77;-;81,65;85;85,77;86,72;94,07;85,77;-;85,77;47,55
08.10.2018;21:00;78,1;47,31;67,02;78,31;78,31;77,76;-;67,02;80,86;78,15;76;79,86;78,15;-;78,6;47,31
08.10.2018;22:00;58,01;46,15;46,15;74,27;76,72;52,7;-;46,15;78,96;70,89;66,25;70,94;70,89;-;77,18;46,15
08.10.2018;23:00;52,95;43,98;43,98;70,84;73,99;59,46;-;43,98;73,54;73,99;56;64,08;73,99;-;62,29;43,98
09.10.2018;00:00;56,77;41,32;41,32;68,51;75,3;58,73;-;41,32;70,92;69,04;57;59,93;69,04;-;65,43;41,32
09.10.2018;01:00;57,43;38,65;38,65;58,09;73,6;56,78;-;38,65;68,6;57,77;54,83;54,83;57,77;-;58,4;38,65
09.10.2018;02:00;55,11;37,03;37,03;56,68;70,13;52,79;-;37,03;70,24;56;52,93;52,93;56;-;58,3;37,03
09.10.2018;03:00;52,35;38,55;38,55;52,6;69,98;52,2;-;38,55;68,65;56,01;51;51;56,01;-;52,8;38,55
09.10.2018;04:00;54,86;38,79;38,79;55,77;70;53,74;-;38,79;67,92;56,02;51,94;51,94;56,02;-;56,72;38,79
09.10.2018;05:00;57,99;43,16;44,93;60,77;74,86;53,6;-;44,93;71,06;58,71;57,21;57,21;58,71;-;64,55;43,16
09.10.2018;06:00;74,27;45,12;67,01;74,27;83,17;73,75;-;61,71;79,9;80,91;72,6;72,6;80,91;-;74,42;45,12
09.10.2018;07:00;91,37;45,92;91,37;93,26;93,26;88,37;-;74,3;85,55;91,85;84,5;84,5;91,85;-;96,08;45,92
